provincia,superficie
Ciudad Autónoma de Buenos Aires,2059
Buenos Aires,305.907,4
Catamarca,101.486,1
Chaco,99.763,3
Chubut,224.302,3
Córdoba,164.707,8
Corrientes,89.123,3
Entre Ríos,78.383,7
Formosa,75.488,3
Jujuy,53.244,2
La Pampa,143.492,5
La Rioja,91.493,7
Mendoza,149.069,2
Misiones,29.911,4
Neuquén,94.422
Río Negro,202.168,6
Salta,155.340,5
San Juan,88.296,2
San Luis,75.347,1
Santa Cruz,244.457,5
Santa Fe,133.249,1
Santiago del Estero,136.934,3
Tierra del Fuego, Antártida e Islas del Atlántico Sur,21.263
Tucumán,22.592,1
